region,year,powertrain_type,TCO_POWERTRAIN
western europe,2035,ICE-D,1.79175325271908
western europe,2035,ICE-G,1.7470693144858818
western europe,2035,PHEV,1.604377485079437
western europe,2036,BEV,1.4401074455011011
western europe,2036,CNG,1.5344883577169666
western europe,2036,FCEV,1.5420902686511988
western europe,2036,HEV,1.510119573576836
western europe,2036,ICE-D,1.7929923342902396
western europe,2036,ICE-G,1.7480081475495437
western europe,2036,PHEV,1.6032984474708893
western europe,2037,BEV,1.4303108513540546
western europe,2037,CNG,1.535073486070473
western europe,2037,FCEV,1.528449380279216
western europe,2037,HEV,1.5105263023243858
western europe,2037,ICE-D,1.7942496826273144
western europe,2037,ICE-G,1.748956368943842
western europe,2037,PHEV,1.6023018398862978
western europe,2038,BEV,1.4209424594180247
western europe,2038,CNG,1.5356644657075147
western europe,2038,FCEV,1.515243220365684
western europe,2038,HEV,1.5109598628945011
western europe,2038,ICE-D,1.7955255718575054
western europe,2038,ICE-G,1.7499140725520836
western europe,2038,PHEV,1.6013849953160766
western europe,2039,BEV,1.4191758931358645
western europe,2039,CNG,1.5362613551409263
western europe,2039,FCEV,1.5035732778200417
western europe,2039,HEV,1.511734309957098
western europe,2039,ICE-D,1.796820280313644
western europe,2039,ICE-G,1.7508813531964074
western europe,2039,PHEV,1.6017299635744946
western europe,2040,BEV,1.419818603947274
western europe,2040,CNG,1.5368642134686725
western europe,2040,FCEV,1.5035372506039621
western europe,2040,HEV,1.5126224494577953
western europe,2040,ICE-D,1.798134090600428
western europe,2040,ICE-G,1.7518583066471745
western europe,2040,PHEV,1.6024813972672027
